t,x,Date,weekday
18662,73,04/02/2021,Thursday
18663,89,05/02/2021,Friday
18664,49,06/02/2021,Saturday
18665,61,07/02/2021,Sunday
18666,74,08/02/2021,Monday
18667,38,09/02/2021,Tuesday
18668,51,10/02/2021,Wednesday
18669,72,11/02/2021,Thursday
18670,50,12/02/2021,Friday
18671,42,13/02/2021,Saturday
18672,38,14/02/2021,Sunday
18673,55,15/02/2021,Monday
18674,37,16/02/2021,Tuesday
18675,70,17/02/2021,Wednesday
18676,61,18/02/2021,Thursday
18677,67,19/02/2021,Friday
18678,62,20/02/2021,Saturday
18679,53,21/02/2021,Sunday
18680,69,22/02/2021,Monday
18681,49,23/02/2021,Tuesday
18682,64,24/02/2021,Wednesday
18683,79,25/02/2021,Thursday
18684,51,26/02/2021,Friday
18685,56,27/02/2021,Saturday
18686,25,28/02/2021,Sunday
18687,56,01/03/2021,Monday
18688,33,02/03/2021,Tuesday
18689,55,03/03/2021,Wednesday
18690,60,04/03/2021,Thursday
18691,48,05/03/2021,Friday
18692,29,06/03/2021,Saturday
18693,20,07/03/2021,Sunday
18694,35,08/03/2021,Monday
18695,25,09/03/2021,Tuesday
18696,40,10/03/2021,Wednesday
18697,41,11/03/2021,Thursday
18698,31,12/03/2021,Friday
18699,17,13/03/2021,Saturday
18700,20,14/03/2021,Sunday
18701,19,15/03/2021,Monday
18702,11,16/03/2021,Tuesday
18703,16,17/03/2021,Wednesday
18704,18,18/03/2021,Thursday
18705,17,19/03/2021,Friday
18706,17,20/03/2021,Saturday
18707,16,21/03/2021,Sunday
18708,26,22/03/2021,Monday
18709,13,23/03/2021,Tuesday
18710,37,24/03/2021,Wednesday
18711,56,25/03/2021,Thursday
18712,32,26/03/2021,Friday
18713,8,27/03/2021,Saturday
18714,10,28/03/2021,Sunday
18715,24,29/03/2021,Monday
18716,10,30/03/2021,Tuesday
18717,16,31/03/2021,Wednesday
18718,21,01/04/2021,Thursday
18719,18,02/04/2021,Friday
18720,12,03/04/2021,Saturday
18721,3,04/04/2021,Sunday
18722,13,05/04/2021,Monday
18723,13,06/04/2021,Tuesday
18724,14,07/04/2021,Wednesday
18725,19,08/04/2021,Thursday
18726,21,09/04/2021,Friday
18727,15,10/04/2021,Saturday
18728,8,11/04/2021,Sunday
18729,27,12/04/2021,Monday
18730,10,13/04/2021,Tuesday
18731,9,14/04/2021,Wednesday
18732,19,15/04/2021,Thursday
18733,17,16/04/2021,Friday
18734,9,17/04/2021,Saturday
18735,7,18/04/2021,Sunday
18736,13,19/04/2021,Monday
18737,6,20/04/2021,Tuesday
18738,14,21/04/2021,Wednesday
18739,14,22/04/2021,Thursday
18740,17,23/04/2021,Friday
18741,12,24/04/2021,Saturday
18742,8,25/04/2021,Sunday
18743,14,26/04/2021,Monday
18744,10,27/04/2021,Tuesday
18745,16,28/04/2021,Wednesday
18746,14,29/04/2021,Thursday
18747,11,30/04/2021,Friday
18748,5,01/05/2021,Saturday
18749,10,02/05/2021,Sunday
18750,6,03/05/2021,Monday
18751,9,04/05/2021,Tuesday
18752,11,05/05/2021,Wednesday
18753,11,06/05/2021,Thursday
18754,18,07/05/2021,Friday
18755,7,08/05/2021,Saturday
18756,1,09/05/2021,Sunday
18757,15,10/05/2021,Monday
18758,6,11/05/2021,Tuesday
18759,11,12/05/2021,Wednesday
18760,17,13/05/2021,Thursday
18761,10,14/05/2021,Friday
18762,6,15/05/2021,Saturday
18763,5,16/05/2021,Sunday
18764,10,17/05/2021,Monday
18765,4,18/05/2021,Tuesday
18766,12,19/05/2021,Wednesday
18767,11,20/05/2021,Thursday
18768,11,21/05/2021,Friday
18769,10,22/05/2021,Saturday
18770,1,23/05/2021,Sunday
18771,12,24/05/2021,Monday
18772,9,25/05/2021,Tuesday
18773,9,26/05/2021,Wednesday
18774,15,27/05/2021,Thursday
18775,10,28/05/2021,Friday
18776,5,29/05/2021,Saturday
18777,3,30/05/2021,Sunday
18778,7,31/05/2021,Monday
18779,9,01/06/2021,Tuesday
18780,9,02/06/2021,Wednesday
18781,15,03/06/2021,Thursday
18782,19,04/06/2021,Friday
18783,9,05/06/2021,Saturday
18784,8,06/06/2021,Sunday
18785,15,07/06/2021,Monday
18786,15,08/06/2021,Tuesday
18787,18,09/06/2021,Wednesday
18788,12,10/06/2021,Thursday
18789,18,11/06/2021,Friday
18790,18,12/06/2021,Saturday
18791,9,13/06/2021,Sunday
18792,12,14/06/2021,Monday
18793,17,15/06/2021,Tuesday
18794,15,16/06/2021,Wednesday
18795,23,17/06/2021,Thursday
18796,22,18/06/2021,Friday
18797,20,19/06/2021,Saturday
18798,12,20/06/2021,Sunday
18799,14,21/06/2021,Monday
18800,18,22/06/2021,Tuesday
18801,23,23/06/2021,Wednesday
18802,28,24/06/2021,Thursday
18803,29,25/06/2021,Friday
18804,18,26/06/2021,Saturday
18805,14,27/06/2021,Sunday
18806,40,28/06/2021,Monday
18807,30,29/06/2021,Tuesday
18808,39,30/06/2021,Wednesday
18809,42,01/07/2021,Thursday
18810,46,02/07/2021,Friday
18811,23,03/07/2021,Saturday
18812,19,04/07/2021,Sunday
18813,58,05/07/2021,Monday
18814,42,06/07/2021,Tuesday
18815,35,07/07/2021,Wednesday
18816,42,08/07/2021,Thursday
18817,50,09/07/2021,Friday
18818,32,10/07/2021,Saturday
18819,11,11/07/2021,Sunday
18820,80,12/07/2021,Monday
18821,56,13/07/2021,Tuesday
18822,45,14/07/2021,Wednesday
18823,58,15/07/2021,Thursday
18824,69,16/07/2021,Friday
18825,35,17/07/2021,Saturday
18826,22,18/07/2021,Sunday
18827,76,19/07/2021,Monday
18828,98,20/07/2021,Tuesday
18829,67,21/07/2021,Wednesday
18830,80,22/07/2021,Thursday
18831,62,23/07/2021,Friday
18832,29,24/07/2021,Saturday
18833,24,25/07/2021,Sunday
18834,68,26/07/2021,Monday
18835,75,27/07/2021,Tuesday
18836,57,28/07/2021,Wednesday
18837,56,29/07/2021,Thursday
18838,70,30/07/2021,Friday
18839,17,31/07/2021,Saturday
18840,20,01/08/2021,Sunday
18841,100,02/08/2021,Monday
18842,44,03/08/2021,Tuesday
18843,52,04/08/2021,Wednesday
18844,67,05/08/2021,Thursday
18845,69,06/08/2021,Friday
18846,27,07/08/2021,Saturday
18847,28,08/08/2021,Sunday
18848,79,09/08/2021,Monday
18849,54,10/08/2021,Tuesday
18850,64,11/08/2021,Wednesday
18851,34,12/08/2021,Thursday
18852,52,13/08/2021,Friday
18853,36,14/08/2021,Saturday
18854,25,15/08/2021,Sunday
18855,74,16/08/2021,Monday
18856,58,17/08/2021,Tuesday
18857,66,18/08/2021,Wednesday
18858,58,19/08/2021,Thursday
18859,65,20/08/2021,Friday
18860,40,21/08/2021,Saturday
18861,22,22/08/2021,Sunday
18862,63,23/08/2021,Monday
18863,59,24/08/2021,Tuesday
18864,70,25/08/2021,Wednesday
18865,71,26/08/2021,Thursday
18866,54,27/08/2021,Friday
18867,34,28/08/2021,Saturday
18868,33,29/08/2021,Sunday
18869,23,30/08/2021,Monday
18870,62,31/08/2021,Tuesday
18871,68,01/09/2021,Wednesday
18872,68,02/09/2021,Thursday
18873,69,03/09/2021,Friday
18874,33,04/09/2021,Saturday
18875,30,05/09/2021,Sunday
